brand,customer_tweet_id,customer_text,customer_text_clean,brand_tweet_id,brand_text,brand_text_clean,is_dm_deflection,has_resolution_steps
Uber_Support,771,@115873 you need to correct false charges from a trip in Lexington KY on Saturday. I want my $13 back #lyingdriver #theft,you need to correct false charges from a trip in Lexington KY on Saturday. I want my $13 back #lyingdriver #theft,768,@115872 Happy to follow up! Contact us via https://t.co/1xM0TILvAI so we can connect.,Happy to follow up! Contact us via so we can connect.,False,False
Uber_Support,408865,@115873 at this point I just want some cash for the phone or a new phone because I still don't have I and nobody has contacted me.,at this point I just want some cash for the phone or a new phone because I still don't have I and nobody has contacted me.,408864,@212473 We've followed up via DM.,We've followed up via DM.,True,False
Uber_Support,748026,@Uber_Support one of your drivers reversed into my stationary car last Saturday but still hasn't reported the incident to his insurer. Keen to get my car fixed but can't until he notifies his insurer. Can you help?,one of your drivers reversed into my stationary car last Saturday but still hasn't reported the incident to his insurer. Keen to get my car fixed but can't until he notifies his insurer. Can you help?,748025,@298814 We take this very seriously. Please send us a DM with your email address so we can connect ASAP.,We take this very seriously. Please send us a DM with your email address so we can connect ASAP.,True,False
Uber_Support,1148020,My @115873 cancelled his trip as his was a min away from my apartment,My cancelled his trip as his was a min away from my apartment,1148019,@390178 We apologize for any inconvenience. Kindly send us a note here: https://t.co/e8HVorX5rh so we can connect.,We apologize for any inconvenience. Kindly send us a note here: so we can connect.,False,False
Uber_Support,1519260,"@Uber_Support __email__
Thanks for a speedy reply guys! A driver has just charged me for a massive cleaning fee when I didn’t do it",__email__ Thanks for a speedy reply guys! A driver has just charged me for a massive cleaning fee when I didn’t do it,1519262,@472378 Here to help. Kindly send a note here: https://t.co/a6RfeBkKmr so we can connect.,Here to help. Kindly send a note here: so we can connect.,False,False
SpotifyCares,850,@SpotifyCares Premium &amp; when i️ have it on shuffle it turns off when the song is done and just plays in order and the repeat lights up but doesn’t repeat,Premium &amp; when i️ have it on shuffle it turns off when the song is done and just plays in order and the repeat lights up but doesn’t repeat,848,@115887 Hmm. Can you try restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Keep us posted /LS,Hmm. Can you try restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Keep us posted /LS,False,True
SpotifyCares,490774,"@115888 Unable to access my account after you sent email advising that I change my password. Always gives error message ""CSRF token invalid"". Tried clearing cookies. Can't send you a message via the website because it wants me to log in first. Please advise.","Unable to access my account after you sent email advising that I change my password. Always gives error message ""CSRF token invalid"". Tried clearing cookies. Can't send you a message via the website because it wants me to log in first. Please advise.",490773,"@231906 Hey, that's not cool!Could you shoot us a quick DM with your email address and username? We'll take a look under the hood 🔍 /JJ https://t.co/ldFdZRiNAt","Hey, that's not cool!Could you shoot us a quick DM with your email address and username? We'll take a look under the hood 🔍 /JJ",True,False
SpotifyCares,883445,"@SpotifyCares Haha, thanks, happy to help!","Haha, thanks, happy to help!",883446,"@329783 Awesome! If you ever need anything else, we're just a tweet away /TF","Awesome! If you ever need anything else, we're just a tweet away /TF",False,False
SpotifyCares,1295917,"@SpotifyCares iPhone 7, iOS 11, version 8.4.22.515","iPhone 7, iOS 11, version 8.4.22.515",1295916,@422912 Got it. Can you try to see if logging out &gt; restarting your phone &gt; logging back in to your account makes a difference? /DV,Got it. Can you try to see if logging out &gt; restarting your phone &gt; logging back in to your account makes a difference? /DV,False,True
SpotifyCares,1785136,"@115888 Hey, when will @28134 be enabled as a payment solution?","Hey, when will be enabled as a payment solution?",1785135,"@536345 We don't have info on this yet. But don't worry, we'll let the right team know it's something you'd like to use in the future 🙂 /JN","We don't have info on this yet. But don't worry, we'll let the right team know it's something you'd like to use in the future 🙂 /JN",False,False
Delta,611,@DELTA i booked my flight using delta amex card. Checking in now &amp; was being charged for baggage,i booked my flight using delta amex card. Checking in now &amp; was being charged for baggage,609,"@115818 Glad to check. Pls, DM your confirmation number for assistance.  *QB https://t.co/6iDGBJAc2m","Glad to check. Pls, DM your confirmation number for assistance. *QB",True,False
Delta,411573,@Delta Can someone respond to my DM please?,Can someone respond to my DM please?,411572,@213186 Hi Julie. I sent/responded to you via DM.  *HAA,Hi Julie. I sent/responded to you via DM. *HAA,True,False
Delta,811685,@Delta 2208; LAS - ATL.,2208; LAS - ATL.,811684,"@313394 Hi, Brian. How can we help today?  *HJB","Hi, Brian. How can we help today? *HJB",False,False
Delta,1136425,@delta who would i call to request a gate pass? my wife and very young son are flying today and could use my help to the gate.,who would i call to request a gate pass? my wife and very young son are flying today and could use my help to the gate.,1136423,@387719 Hello Adam! You would have to speak with the ticket agent at the airport.  *HKS,Hello Adam! You would have to speak with the ticket agent at the airport. *HKS,False,False
Delta,1495414,"""Computer glitch"" 😅

This is why I fly @Delta. (And the snacks.) https://t.co/g12P6M6Cij","""Computer glitch"" 😅 This is why I fly . (And the snacks.)",1495413,"@467218 Hi Alyssa, thanks; we are always glad to be your ride, holidays and all year round! ✈   *TJP","Hi Alyssa, thanks; we are always glad to be your ride, holidays and all year round! ✈ *TJP",False,False
